R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.4375,5.5,1.25,0.5,0.305,0.0,0.7353879999999999
1.4375,5.5,1.25,0.615,0.415,0.0,0.73046
1.4375,5.5,1.5,0.945,0.25,0.0,0.74158
1.4375,5.5,1.5,0.84,0.44,0.0,0.730518
1.4375,5.5,1.5,0.275,0.47,0.0,0.728618
1.4375,5.5,1.5,0.055,0.36,0.0,0.730472
1.4375,5.5,1.5,0.5,0.305,0.0,0.7362259999999999
1.4375,5.5,1.5,0.615,0.415,0.0,0.7317520000000001
1.4375,5.5,2.0,0.945,0.25,0.0,0.744486
1.4375,5.5,2.0,0.84,0.44,0.0,0.732058
1.4375,5.5,2.0,0.275,0.47,0.0,0.729472
1.4375,5.5,2.0,0.055,0.36,0.0,0.730842
1.4375,5.5,2.0,0.5,0.305,0.0,0.7373379999999999
1.4375,5.5,2.0,0.615,0.415,0.0,0.7325260000000001
1.4375,6.0,0.0,0.945,0.25,0.0,0.728712
1.4375,6.0,0.0,0.84,0.44,0.0,0.728712
1.4375,6.0,0.0,0.275,0.47,0.0,0.728712
1.4375,6.0,0.0,0.055,0.36,0.0,0.7339
1.4375,6.0,0.0,0.5,0.305,0.0,0.728712
1.4375,6.0,0.0,0.615,0.415,0.0,0.728712
1.4375,6.0,0.25,0.945,0.25,0.0,0.733364
1.4375,6.0,0.25,0.84,0.44,0.0,0.731182
1.4375,6.0,0.25,0.275,0.47,0.0,0.731186
1.4375,6.0,0.25,0.055,0.36,0.0,0.7351420000000001
1.4375,6.0,0.25,0.5,0.305,0.0,0.7328060000000001
1.4375,6.0,0.25,0.615,0.415,0.0,0.7314400000000001
1.4375,6.0,0.5,0.945,0.25,0.0,0.736868
1.4375,6.0,0.5,0.84,0.44,0.0,0.73306
1.4375,6.0,0.5,0.275,0.47,0.0,0.73245
1.4375,6.0,0.5,0.055,0.36,0.0,0.736128
