R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.375,5.5,0.0,0.055,0.36,0.0,0.693222
1.375,5.5,0.25,0.055,0.36,0.0,0.69469
1.375,5.5,0.5,0.055,0.36,0.0,0.695522
1.375,5.5,0.75,0.055,0.36,0.0,0.696406
1.375,5.5,1.0,0.055,0.36,0.0,0.696182
1.375,5.5,1.25,0.055,0.36,0.0,0.696748
1.375,5.5,1.5,0.055,0.36,0.0,0.696788
1.375,5.5,2.0,0.055,0.36,0.0,0.6965180000000001
1.4375,5.5,0.0,0.055,0.36,0.0,0.727588
1.4375,5.5,0.25,0.055,0.36,0.0,0.729066
1.4375,5.5,0.5,0.055,0.36,0.0,0.729574
1.4375,5.5,0.75,0.055,0.36,0.0,0.730082
1.4375,5.5,1.0,0.055,0.36,0.0,0.730294
1.4375,5.5,1.25,0.055,0.36,0.0,0.7307260000000001
1.4375,5.5,1.5,0.055,0.36,0.0,0.730472
1.4375,5.5,2.0,0.055,0.36,0.0,0.730842
1.5,5.5,0.0,0.055,0.36,0.0,0.7541059999999999
1.5,5.5,0.25,0.055,0.36,0.0,0.755296
1.5,5.5,0.5,0.055,0.36,0.0,0.755798
1.5,5.5,0.75,0.055,0.36,0.0,0.7563600000000001
1.5,5.5,1.0,0.055,0.36,0.0,0.756502
1.5,5.5,1.25,0.055,0.36,0.0,0.756684
1.5,5.5,1.5,0.055,0.36,0.0,0.75648
1.5,5.5,2.0,0.055,0.36,0.0,0.75675
1.75,5.5,0.0,0.055,0.36,0.0,0.84124
1.75,5.5,0.25,0.055,0.36,0.0,0.841792
1.75,5.5,0.5,0.055,0.36,0.0,0.8422640000000001
1.75,5.5,0.75,0.055,0.36,0.0,0.8424559999999999
1.75,5.5,1.0,0.055,0.36,0.0,0.842382
1.75,5.5,1.25,0.055,0.36,0.0,0.842392
1.75,5.5,1.5,0.055,0.36,0.0,0.8424839999999999
1.75,5.5,2.0,0.055,0.36,0.0,0.842718
