p,q,tau,mean_r_inf
0.10526315789473684,0.5,5,0.5046999999999999
0.15789473684210525,0.0,5,0.806
0.15789473684210525,0.02631578947368421,5,0.8192999999999999
0.15789473684210525,0.05263157894736842,5,0.7747999999999999
0.15789473684210525,0.07894736842105263,5,0.7654000000000001
0.15789473684210525,0.10526315789473684,5,0.7562
0.15789473684210525,0.13157894736842105,5,0.7369
0.15789473684210525,0.15789473684210525,5,0.7117000000000001
0.15789473684210525,0.18421052631578946,5,0.7004
0.15789473684210525,0.21052631578947367,5,0.6646
0.15789473684210525,0.23684210526315788,5,0.6533999999999999
0.15789473684210525,0.2631578947368421,5,0.6491999999999999
0.15789473684210525,0.2894736842105263,5,0.6205
0.15789473684210525,0.3157894736842105,5,0.5818
0.15789473684210525,0.3421052631578947,5,0.5851999999999998
0.15789473684210525,0.3684210526315789,5,0.566
0.15789473684210525,0.39473684210526316,5,0.5628
0.15789473684210525,0.42105263157894735,5,0.5424
0.15789473684210525,0.4473684210526315,5,0.5733999999999999
0.15789473684210525,0.47368421052631576,5,0.5381000000000001
0.15789473684210525,0.5,5,0.5146
0.21052631578947367,0.0,5,0.8253
0.21052631578947367,0.02631578947368421,5,0.8297999999999999
0.21052631578947367,0.05263157894736842,5,0.8047000000000001
0.21052631578947367,0.07894736842105263,5,0.7682
0.21052631578947367,0.10526315789473684,5,0.7407
0.21052631578947367,0.13157894736842105,5,0.7177
0.21052631578947367,0.15789473684210525,5,0.7049000000000001
0.21052631578947367,0.18421052631578946,5,0.6838000000000001
0.21052631578947367,0.21052631578947367,5,0.6757
0.21052631578947367,0.23684210526315788,5,0.6649
0.21052631578947367,0.2631578947368421,5,0.6212000000000001
0.21052631578947367,0.2894736842105263,5,0.617
0.21052631578947367,0.3157894736842105,5,0.5942999999999999
0.21052631578947367,0.3421052631578947,5,0.5936
0.21052631578947367,0.3684210526315789,5,0.5644
0.21052631578947367,0.39473684210526316,5,0.5589
0.21052631578947367,0.42105263157894735,5,0.5118
0.21052631578947367,0.4473684210526315,5,0.5076999999999999
0.21052631578947367,0.47368421052631576,5,0.5035000000000001
0.21052631578947367,0.5,5,0.5041
0.2631578947368421,0.0,5,0.8295999999999999
0.2631578947368421,0.02631578947368421,5,0.8267999999999999
0.2631578947368421,0.05263157894736842,5,0.7718
0.2631578947368421,0.07894736842105263,5,0.7524
0.2631578947368421,0.10526315789473684,5,0.7516
0.2631578947368421,0.13157894736842105,5,0.7346999999999999
0.2631578947368421,0.15789473684210525,5,0.7137
0.2631578947368421,0.18421052631578946,5,0.6880999999999998
0.2631578947368421,0.21052631578947367,5,0.6575000000000001
0.2631578947368421,0.23684210526315788,5,0.6188
0.2631578947368421,0.2631578947368421,5,0.6106999999999999
0.2631578947368421,0.2894736842105263,5,0.6383000000000001
0.2631578947368421,0.3157894736842105,5,0.6105
0.2631578947368421,0.3421052631578947,5,0.5844
0.2631578947368421,0.3684210526315789,5,0.5204
0.2631578947368421,0.39473684210526316,5,0.5603999999999999
0.2631578947368421,0.42105263157894735,5,0.5275000000000001
0.2631578947368421,0.4473684210526315,5,0.5275
0.2631578947368421,0.47368421052631576,5,0.5144
0.2631578947368421,0.5,5,0.4920999999999999
0.3157894736842105,0.0,5,0.8155999999999999
0.3157894736842105,0.02631578947368421,5,0.8010999999999999
0.3157894736842105,0.05263157894736842,5,0.8030999999999999
0.3157894736842105,0.07894736842105263,5,0.753
